"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
5.864176758E1,6.079744962E1,2.573560481E1,7.748221645E1,1.610000014E0,1.656000061E2,3.790092468E0,2.500000000E0
5.964156029E1,6.079743482E1,2.573561186E1,7.751686451E1,1.600000024E0,1.676999969E2,3.790092468E0,2.500000000E0
6.064135185E1,6.079742000E1,2.573561835E1,7.744946079E1,1.590000033E0,1.691000061E2,3.790092468E0,2.500000000E0
6.164109607E1,6.079740534E1,2.573562388E1,7.752103204E1,1.590000033E0,1.693000031E2,3.790092468E0,2.500000000E0
6.264134654E1,6.079739109E1,2.573563021E1,7.742408593E1,1.559999943E0,1.686000061E2,3.790092468E0,2.500000000E0
6.364110008E1,6.079737785E1,2.573563798E1,7.735820746E1,1.509999990E0,1.643999939E2,3.790092468E0,2.500000000E0
6.464100961E1,6.079736347E1,2.573564638E1,7.750919023E1,1.730000019E0,1.658000031E2,3.790092468E0,2.500000000E0
6.564096919E1,6.079734780E1,2.573565514E1,7.764394076E1,1.779999971E0,1.648999939E2,3.790092468E0,2.500000000E0
6.664090227E1,6.079733250E1,2.573566444E1,7.772864277E1,1.750000000E0,1.638000031E2,3.790092468E0,2.500000000E0
6.764163372E1,6.079731705E1,2.573567554E1,7.793718872E1,1.779999971E0,1.633000031E2,3.790092468E0,2.500000000E0
6.864163919E1,6.079730121E1,2.573568613E1,7.792497031E1,1.740000010E0,1.636000061E2,3.790092468E0,2.500000000E0
6.964149680E1,6.079728540E1,2.573569697E1,7.793313805E1,1.730000019E0,1.635000000E2,3.790092468E0,2.500000000E0
7.064109076E1,6.079726999E1,2.573570509E1,7.780830438E1,1.690000057E0,1.678000031E2,3.790092468E0,2.500000000E0
7.164108716E1,6.079725440E1,2.573571172E1,7.787517973E1,1.700000048E0,1.696999969E2,3.790092468E0,2.500000000E0
7.264135419E1,6.079723919E1,2.573571801E1,7.778049367E1,1.710000038E0,1.670000000E2,3.790092468E0,2.500000000E0
7.364107482E1,6.079722291E1,2.573572573E1,7.780220632E1,1.789999962E0,1.648999939E2,3.790092468E0,2.500000000E0
7.464151976E1,6.079720646E1,2.573573470E1,7.785273021E1,1.840000033E0,1.641000061E2,3.790092468E0,2.500000000E0
7.564129008E1,6.079719076E1,2.573574301E1,7.782518749E1,1.720000029E0,1.671999969E2,3.790092468E0,2.500000000E0
