"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.943084970E-1,1.708205938E-1,-8.511220813E-1,2.162167549E0
5.993084970E-1,8.030331135E-2,-8.474147320E-1,2.490583420E0
6.043084970E-1,-4.047274590E-3,-8.105976582E-1,2.815207481E0
6.093084970E-1,-1.200083494E-1,-7.263832092E-1,3.143008232E0
6.143084970E-1,-2.505151033E-1,-6.391057372E-1,3.435433388E0
6.193084970E-1,-4.105234146E-1,-5.654865503E-1,3.759123802E0
6.243084970E-1,-5.635002851E-1,-4.998889863E-1,4.131056786E0
6.293084970E-1,-7.279073000E-1,-4.949346781E-1,4.687886238E0
6.343084970E-1,-8.439806700E-1,-5.249711275E-1,5.027423859E0
6.393084970E-1,-7.782410383E-1,-4.964074194E-1,4.804712296E0
6.443084970E-1,-5.981723070E-1,-4.413870573E-1,4.486734390E0
6.493084970E-1,-4.156219959E-1,-4.004457891E-1,4.247960091E0
6.543084970E-1,-2.529224157E-1,-3.433701694E-1,3.969218254E0
6.593084970E-1,-1.214323044E-1,-2.247695923E-1,3.570507050E0
6.643084970E-1,-2.668344975E-2,-7.150775939E-2,3.242738724E0
6.693084970E-1,6.162393093E-2,1.707568392E-2,3.145313263E0
6.743084970E-1,2.359098196E-1,-3.765113652E-2,3.164192200E0
6.793084970E-1,4.578565359E-1,-1.567609459E-1,3.053172112E0
6.843084970E-1,6.229795218E-1,-2.301667631E-1,2.707316399E0
6.893084970E-1,7.355318069E-1,-2.703409791E-1,2.260366440E0
6.943084970E-1,7.627044916E-1,-4.243827760E-1,1.960042953E0
6.993084970E-1,8.340169787E-1,-7.045480013E-1,1.758094788E0
7.043084970E-1,8.622832298E-1,-1.021029353E0,1.618532181E0
7.093084970E-1,8.906434774E-1,-1.317113519E0,1.476546288E0
7.143084970E-1,8.909543753E-1,-1.521391273E0,1.352510452E0
7.193084970E-1,8.324658871E-1,-1.712616920E0,1.271507263E0
7.243084970E-1,6.872422695E-1,-1.819435954E0,1.096084595E0
7.293084970E-1,4.976006746E-1,-1.937569737E0,7.254972458E-1
7.343084970E-1,3.636754751E-1,-2.025466681E0,1.764345169E-1
7.393084970E-1,2.455135584E-1,-2.078495979E0,-4.555187225E-1
7.443084970E-1,1.123597622E-1,-2.069711208E0,-9.772710800E-1
7.493084970E-1,-6.824731827E-3,-1.976845026E0,-1.372657776E0
7.543084970E-1,-8.435893059E-2,-1.809188843E0,-1.633034706E0
7.593084970E-1,-1.017620564E-1,-1.543136716E0,-1.806197166E0
7.643084970E-1,-5.404162407E-2,-1.217499256E0,-1.963194847E0
7.693084970E-1,4.562616348E-2,-8.225009441E-1,-2.139945984E0
7.743084970E-1,1.722373962E-1,-3.704943359E-1,-2.299360275E0
7.793084970E-1,2.485439777E-1,8.207553625E-2,-2.381095409E0
7.843084970E-1,2.953085899E-1,5.300715566E-1,-2.398652554E0
7.893084970E-1,3.391849995E-1,9.052110910E-1,-2.394485950E0
7.943084970E-1,4.097449780E-1,1.242545128E0,-2.397216797E0
7.993084970E-1,4.803924561E-1,1.501988769E0,-2.335387707E0
8.043084970E-1,5.559949875E-1,1.663749218E0,-2.227149487E0
8.093084970E-1,6.128013134E-1,1.726433635E0,-2.128603935E0
8.143084970E-1,7.171820402E-1,1.736076951E0,-2.115790844E0
8.193084970E-1,8.869378567E-1,1.662492275E0,-2.252026558E0
8.243084970E-1,1.054514408E0,1.510442615E0,-2.427401543E0
8.293084970E-1,1.116278410E0,1.305681586E0,-2.461950302E0
8.343084970E-1,1.118576169E0,1.130101800E0,-2.359878540E0
8.393084970E-1,1.062360048E0,9.384946823E-1,-2.160551548E0
8.443084970E-1,1.046405911E0,7.234353423E-1,-1.962889671E0
8.493084970E-1,1.062015653E0,5.256315470E-1,-1.928640366E0
8.543084970E-1,1.086599946E0,3.591994643E-1,-2.041581631E0
8.593084970E-1,1.109321237E0,2.253777087E-1,-2.154777050E0
8.643084970E-1,1.154739261E0,1.092844605E-1,-2.292168140E0
8.693084970E-1,1.223606706E0,8.164227009E-2,-2.443968296E0
8.743084970E-1,1.308559060E0,1.480279267E-1,-2.610624313E0
8.793084970E-1,1.360338807E0,2.539160252E-1,-2.743084908E0
8.843084970E-1,1.422986269E0,4.506500661E-1,-2.962512970E0
8.893084970E-1,1.441886067E0,6.581451893E-1,-3.196199417E0
8.943084970E-1,1.387768865E0,8.861446381E-1,-3.399837494E0
8.993084970E-1,1.268489718E0,1.074300647E0,-3.610967636E0
9.043084970E-1,1.157293200E0,1.205866098E0,-3.904425144E0
9.093084970E-1,9.551717043E-1,1.227632880E0,-4.131724834E0
9.143084970E-1,6.128423214E-1,1.228587508E0,-4.347505093E0
9.193084970E-1,2.569184303E-1,1.191960812E0,-4.484314442E0
9.243084970E-1,-8.784937859E-2,1.130913615E0,-4.521857262E0
9.293084970E-1,-3.429057598E-1,1.095124245E0,-4.519286156E0
9.343084970E-1,-4.096324444E-1,1.097027540E0,-4.411005020E0
9.393084970E-1,-3.060491085E-1,1.121051788E0,-4.216600895E0
9.443084970E-1,-1.166725159E-1,1.201786280E0,-3.916276455E0
9.493084970E-1,1.623747349E-1,1.311626315E0,-3.518786907E0
9.543084970E-1,4.922325611E-1,1.410203815E0,-3.014555931E0
9.593084970E-1,8.365345001E-1,1.520337105E0,-2.414339542E0
9.643084970E-1,1.168839812E0,1.613130569E0,-1.533374310E0
9.693084970E-1,1.472050190E0,1.627487659E0,-4.911575317E-1
9.743084970E-1,1.692238808E0,1.542062998E0,-4.722595215E-3
9.793084970E-1,1.794845343E0,1.423313141E0,1.706962585E-1
9.843084970E-1,1.775887966E0,1.279115558E0,5.939941406E-1
9.893084970E-1,1.618760347E0,1.195154667E0,1.004620552E0
9.943084970E-1,1.429265261E0,1.155062795E0,1.176392555E0
9.993084970E-1,1.201146483E0,1.130380154E0,1.139583588E0
1.004308497E0,9.656819105E-1,1.099764585E0,1.034798622E0
1.009308497E0,6.993777752E-1,1.030941129E0,9.351797104E-1
1.014308497E0,4.695075750E-1,9.335668087E-1,8.357486725E-1
1.019308497E0,3.260823488E-1,8.365126848E-1,6.357765198E-1
1.024308497E0,2.181274891E-1,7.743736506E-1,3.686342239E-1
1.029308497E0,1.788141727E-1,7.363437414E-1,7.536029816E-2
1.034308497E0,1.892435551E-1,7.779861689E-1,-2.243261337E-1
1.039308497E0,2.251105309E-1,8.839853406E-1,-5.519018173E-1
1.044308497E0,2.575576305E-1,9.687535167E-1,-8.749904633E-1
1.049308497E0,2.901093960E-1,1.007012486E0,-1.059206009E0
1.054308497E0,2.957532406E-1,9.920315742E-1,-1.197514534E0
1.059308497E0,3.223220110E-1,9.473254085E-1,-1.311925888E0
1.064308497E0,3.112661839E-1,8.843317628E-1,-1.327229500E0
1.069308497E0,3.132263422E-1,8.038670421E-1,-1.254104614E0
1.074308497E0,2.880852222E-1,7.068892121E-1,-1.129644394E0
